{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:35:52.474731'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:46.473832'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:46.767611'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:46.777989'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:47.055408'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:47.181664'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:47.280866'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:47.773052'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:47.803862'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.222009'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.285393'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.466833'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.517230'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.651359'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.702445'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.830771'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:48.916459'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:49.035294'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:49.549215'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:49.551684'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:49.873722'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:49.877939'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:50.307854'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:50.349503'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:50.938406'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:50.969513'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:51.899714'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:51.901890'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:52.656201'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:52.681668'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:53.068976'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:53.185047'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:53.711799'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:54.342654'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:54.793947'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:55.214901'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:55.354493'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:55.968623'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:55.979254'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:56.573942'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:56.576998'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:56.950079'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:57.035625'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:57.953897'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:58.841512'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:58.931210'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:59.102245'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:36:59.187066'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:36:59.319637'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:00.300976'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:00.330003'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:00.860815'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:00.936840'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:01.769100'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:01.853059'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:02.364038'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:02.399991'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:02.800190'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:03.053057'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:03.680321'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:04.212756'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:04.404844'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:04.709918'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:04.759993'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:05.379122'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:05.419930'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:06.520716'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:06.524269'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:06.983103'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:07.039308'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:07.223497'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:07.366842'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:07.911269'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:08.207915'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:08.338018'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:08.618850'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:08.767130'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:09.096405'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:09.102774'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:09.430124'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:09.507261'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:09.921383'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:10.163144'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:10.597229'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:10.905090'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:11.139248'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:11.975469'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:12.786946'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:13.049137'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:14.065546'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:14.766935'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:15.632166'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:15.866374'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:16.136122'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:16.591495'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:16.960955'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:17.409859'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:17.760679'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:18.115483'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:18.267109'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:18.798757'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:18.917494'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:19.338102'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:19.392233'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:19.623205'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:19.728051'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:20.204127'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:20.382888'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:20.552090'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:20.684673'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:20.903208'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:21.314860'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:21.548971'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:22.054830'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:22.745650'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:22.792558'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:23.202300'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:23.485873'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:24.364749'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:24.812724'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:25.705879'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:25.972924'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:26.258536'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:26.451853'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.060021'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.062474'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.475782'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.650566'}
{'type': 'Port Scan / DDoS', 'ip': '20.189.173.27', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.808736'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.972318'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:27.989131'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:28.294901'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:28.362921'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:28.629661'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:28.674331'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:28.900026'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:28.901025'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:29.268267'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:29.270416'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:29.957540'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:30.067877'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:30.771034'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:30.840885'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:31.297925'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:31.444541'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:31.720804'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:31.882122'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:32.329285'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:32.590661'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:32.742650'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:33.219516'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:33.398322'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:33.715496'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:33.807198'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:34.684977'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:34.905031'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:35.252268'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:35.535495'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:35.838651'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:36.023161'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:36.196526'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:36.514076'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:36.693908'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:36.916079'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:36.986750'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:37.339386'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:37.373183'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:37.705218'}
{'type': 'Port Scan / DDoS', 'ip': '10.204.232.5', 'severity': 'HIGH', 'time': '2026-05-18 21:37:37.734185'}
{'type': 'Port Scan / DDoS', 'ip': '185.199.108.133', 'severity': 'HIGH', 'time': '2026-05-18 21:37:38.288020'}
